tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 00:51:54,01/01/2020 01:04:43,0,3.6,No,229,202,12.5,3.25
07/01/2020 14:07:01,07/01/2020 14:07:10,2,0,No,145,145,2.5,0
01/01/2020 00:26:04,01/01/2020 00:27:18,1,0,No,234,234,-2.5,0
01/01/2020 00:54:51,01/01/2020 00:56:04,1,0,No,75,75,2.5,1.14
01/01/2020 00:16:51,01/01/2020 00:19:34,2,0,No,188,188,2.5,0
01/01/2020 00:21:11,01/01/2020 00:22:03,1,0,No,188,188,2.5,30
07/01/2020 14:08:22,07/01/2020 14:08:29,2,0,No,145,145,2.5,0
01/01/2020 00:36:07,01/01/2020 00:58:35,1,0,No,238,32,30.2,0
01/01/2020 00:15:16,01/01/2020 00:29:33,0,1.6,No,113,170,10.5,2.85
01/01/2020 00:36:57,01/01/2020 00:46:53,0,3.3,No,229,74,11,0
01/01/2020 00:22:38,01/01/2020 00:34:27,0,1.1,No,237,237,8.5,3.65
01/01/2020 00:36:44,01/01/2020 00:43:44,0,0.4,No,237,141,6,2.9
01/01/2020 00:49:44,01/01/2020 01:08:42,0,2.7,No,141,238,13.5,2.6
01/01/2020 00:37:57,01/01/2020 00:59:01,0,3.1,Yes,114,261,15.5,0
01/01/2020 00:01:22,01/01/2020 00:16:01,0,3.7,No,125,25,14,3.55
01/01/2020 00:23:39,01/01/2020 00:23:50,1,0,No,186,186,110,0
01/01/2020 00:49:25,01/01/2020 00:49:30,1,0,No,265,265,15,0
01/01/2020 00:13:27,01/01/2020 00:36:57,0,1.7,No,246,161,15,0
01/01/2020 00:38:13,01/01/2020 00:48:32,0,1.5,No,162,224,8.5,2.45
01/01/2020 00:52:50,01/01/2020 01:17:54,0,4.7,No,224,239,19,0
01/01/2020 00:43:51,01/01/2020 01:29:27,1,0,No,69,39,52.2,0
01/01/2020 00:41:07,01/01/2020 01:05:55,0,2.6,Yes,239,229,16,5
01/01/2020 00:16:57,01/01/2020 00:37:32,0,1.1,No,164,161,13,3.35
01/01/2020 00:39:07,01/01/2020 00:57:46,0,0.8,No,161,164,12,0
01/01/2020 00:37:23,01/01/2020 01:17:43,1,0,No,24,160,30.2,0
01/01/2020 00:43:22,01/01/2020 00:43:24,2,0,No,264,264,40,0
01/01/2020 00:07:22,01/01/2020 00:35:36,0,6.1,No,48,226,23,0
01/01/2020 00:01:42,01/01/2020 00:05:13,1,0.66,No,236,140,-4.5,0
01/01/2020 00:10:46,01/01/2020 00:10:48,1,0,No,264,264,7,1.56
01/01/2020 00:14:40,01/01/2020 00:15:28,2,0,No,161,161,52,0
01/01/2020 00:41:08,01/01/2020 00:42:07,1,0,No,265,265,48,8
